"date","bank_rate"
"January 1934",".."
"February 1934",".."
"March 1934",".."
"April 1934",".."
"May 1934",".."
"June 1934",".."
"July 1934",".."
"August 1934",".."
"September 1934",".."
"October 1934",".."
"November 1934",".."
"December 1934",".."
"January 1935","2.50"
"February 1935","2.50"
"March 1935","2.50"
"April 1935","2.50"
"May 1935","2.50"
"June 1935","2.50"
"July 1935","2.50"
"August 1935","2.50"
"September 1935","2.50"
"October 1935","2.50"
"November 1935","2.50"
"December 1935","2.50"
"January 1936","2.50"
"February 1936","2.50"
"March 1936","2.50"
"April 1936","2.50"
"May 1936","2.50"
"June 1936","2.50"
"July 1936","2.50"
"August 1936","2.50"
"September 1936","2.50"
"October 1936","2.50"
"November 1936","2.50"
"December 1936","2.50"
"January 1937","2.50"
"February 1937","2.50"
"March 1937","2.50"
"April 1937","2.50"
"May 1937","2.50"
"June 1937","2.50"
"July 1937","2.50"
"August 1937","2.50"
"September 1937","2.50"
"October 1937","2.50"
"November 1937","2.50"
"December 1937","2.50"
"January 1938","2.50"
"February 1938","2.50"
"March 1938","2.50"
"April 1938","2.50"
"May 1938","2.50"
"June 1938","2.50"
"July 1938","2.50"
"August 1938","2.50"
"September 1938","2.50"
"October 1938","2.50"
"November 1938","2.50"
"December 1938","2.50"
"January 1939","2.50"
"February 1939","2.50"
"March 1939","2.50"
"April 1939","2.50"
"May 1939","2.50"
"June 1939","2.50"
"July 1939","2.50"
"August 1939","2.50"
"September 1939","2.50"
"October 1939","2.50"
"November 1939","2.50"
"December 1939","2.50"
"January 1940","2.50"
"February 1940","2.50"
"March 1940","2.50"
"April 1940","2.50"
"May 1940","2.50"
"June 1940","2.50"
"July 1940","2.50"
"August 1940","2.50"
"September 1940","2.50"
"October 1940","2.50"
"November 1940","2.50"
"December 1940","2.50"
"January 1941","2.50"
"February 1941","2.50"
"March 1941","2.50"
"April 1941","2.50"
"May 1941","2.50"
"June 1941","2.50"
"July 1941","2.50"
"August 1941","2.50"
"September 1941","2.50"
"October 1941","2.50"
"November 1941","2.50"
"December 1941","2.50"
"January 1942","2.50"
"February 1942","2.50"
"March 1942","2.50"
"April 1942","2.50"
"May 1942","2.50"
"June 1942","2.50"
"July 1942","2.50"
"August 1942","2.50"
"September 1942","2.50"
"October 1942","2.50"
"November 1942","2.50"
"December 1942","2.50"
"January 1943","2.50"
"February 1943","2.50"
"March 1943","2.50"
"April 1943","2.50"
"May 1943","2.50"
"June 1943","2.50"
"July 1943","2.50"
"August 1943","2.50"
"September 1943","2.50"
"October 1943","2.50"
"November 1943","2.50"
"December 1943","2.50"
"January 1944","2.50"
"February 1944","1.50"
"March 1944","1.50"
"April 1944","1.50"
"May 1944","1.50"
"June 1944","1.50"
"July 1944","1.50"
"August 1944","1.50"
"September 1944","1.50"
"October 1944","1.50"
"November 1944","1.50"
"December 1944","1.50"
"January 1945","1.50"
"February 1945","1.50"
"March 1945","1.50"
"April 1945","1.50"
"May 1945","1.50"
"June 1945","1.50"
"July 1945","1.50"
"August 1945","1.50"
"September 1945","1.50"
"October 1945","1.50"
"November 1945","1.50"
"December 1945","1.50"
"January 1946","1.50"
"February 1946","1.50"
"March 1946","1.50"
"April 1946","1.50"
"May 1946","1.50"
"June 1946","1.50"
"July 1946","1.50"
"August 1946","1.50"
"September 1946","1.50"
"October 1946","1.50"
"November 1946","1.50"
"December 1946","1.50"
"January 1947","1.50"
"February 1947","1.50"
"March 1947","1.50"
"April 1947","1.50"
"May 1947","1.50"
"June 1947","1.50"
"July 1947","1.50"
"August 1947","1.50"
"September 1947","1.50"
"October 1947","1.50"
"November 1947","1.50"
"December 1947","1.50"
"January 1948","1.50"
"February 1948","1.50"
"March 1948","1.50"
"April 1948","1.50"
"May 1948","1.50"
"June 1948","1.50"
"July 1948","1.50"
"August 1948","1.50"
"September 1948","1.50"
"October 1948","1.50"
"November 1948","1.50"
"December 1948","1.50"
"January 1949","1.50"
"February 1949","1.50"
"March 1949","1.50"
"April 1949","1.50"
"May 1949","1.50"
"June 1949","1.50"
"July 1949","1.50"
"August 1949","1.50"
"September 1949","1.50"
"October 1949","1.50"
"November 1949","1.50"
"December 1949","1.50"
"January 1950","1.50"
"February 1950","1.50"
"March 1950","1.50"
"April 1950","1.50"
"May 1950","1.50"
"June 1950","1.50"
"July 1950","1.50"
"August 1950","1.50"
"September 1950","1.50"
"October 1950","2.00"
"November 1950","2.00"
"December 1950","2.00"
"January 1951","2.00"
"February 1951","2.00"
"March 1951","2.00"
"April 1951","2.00"
"May 1951","2.00"
"June 1951","2.00"
"July 1951","2.00"
"August 1951","2.00"
"September 1951","2.00"
"October 1951","2.00"
"November 1951","2.00"
"December 1951","2.00"
"January 1952","2.00"
"February 1952","2.00"
"March 1952","2.00"
"April 1952","2.00"
"May 1952","2.00"
"June 1952","2.00"
"July 1952","2.00"
"August 1952","2.00"
"September 1952","2.00"
"October 1952","2.00"
"November 1952","2.00"
"December 1952","2.00"
"January 1953","2.00"
"February 1953","2.00"
"March 1953","2.00"
"April 1953","2.00"
"May 1953","2.00"
"June 1953","2.00"
"July 1953","2.00"
"August 1953","2.00"
"September 1953","2.00"
"October 1953","2.00"
"November 1953","2.00"
"December 1953","2.00"
"January 1954","2.00"
"February 1954","2.00"
"March 1954","2.00"
"April 1954","2.00"
"May 1954","2.00"
"June 1954","2.00"
"July 1954","2.00"
"August 1954","2.00"
"September 1954","2.00"
"October 1954","2.00"
"November 1954","2.00"
"December 1954","2.00"
"January 1955","2.00"
"February 1955","1.50"
"March 1955","1.50"
"April 1955","1.50"
"May 1955","1.50"
"June 1955","1.50"
"July 1955","1.50"
"August 1955","2.00"
"September 1955","2.00"
"October 1955","2.25"
"November 1955","2.75"
"December 1955","2.75"
"January 1956","2.75"
"February 1956","2.75"
"March 1956","2.75"
"April 1956","3.00"
"May 1956","3.00"
"June 1956","3.00"
"July 1956","3.00"
"August 1956","3.25"
"September 1956","3.25"
"October 1956","3.50"
"November 1956","3.69"
"December 1956","3.89"
"January 1957","3.97"
"February 1957","4.06"
"March 1957","3.94"
"April 1957","3.98"
"May 1957","4.01"
"June 1957","4.05"
"July 1957","4.05"
"August 1957","4.33"
"September 1957","4.18"
"October 1957","4.08"
"November 1957","3.76"
