date,uncertainty,litigious,strong_modal,weak_modal,constraining,optimistic
1995-05-15,47,6,6,13,12,-38
1995-11-20,34,8,5,11,5,-28
1996-05-20,28,5,5,10,6,-12
1996-11-20,33,4,4,11,8,-6
1997-05-20,25,3,3,9,9,4
1997-11-20,33,5,3,8,4,-1
1998-05-13,42,6,7,12,9,-40
1998-11-16,38,5,3,10,8,-34
1999-05-19,45,6,4,12,8,-33
1999-11-17,37,4,5,13,9,-19
2000-11-05,38,6,4,12,9,-8
2000-11-09,46,7,5,10,7,-7
2001-05-01,34,3,5,12,5,-21
2001-11-07,40,6,6,13,7,-65
2002-04-23,33,4,2,10,4,-23
2002-10-23,46,6,3,11,9,-44
2003-04-22,40,5,3,12,7,-41
2003-10-23,43,6,3,11,6,-31
2004-04-15,31,5,4,8,1,-12
2004-10-24,47,7,3,10,6,-25
2005-04-20,39,4,4,6,5,-21
2005-10-20,41,7,6,9,7,-18
2006-04-27,40,5,2,9,6,-24
2006-10-19,34,4,3,7,5,-23
2007-04-26,30,6,3,8,1,-34
2007-10-18,31,5,2,8,5,-25
2008-04-24,32,5,2,10,8,-33
2008-10-23,30,4,5,7,7,-56
2009-04-22,35,8,6,9,15,-51
2009-08-23,38,4,4,7,5,-46
2009-10-25,26,7,3,7,5,-42
2010-01-21,31,8,2,9,11,-31
2010-04-22,29,5,2,8,11,-13
2010-08-22,34,5,3,10,8,-42
2010-10-20,30,5,2,7,14,-44
2011-01-13,14,2,3,4,6,-8
2011-04-13,33,6,3,9,17,-53
2011-08-20,34,7,5,6,13,-44
2011-10-26,40,6,5,7,11,-52
2012-01-18,38,5,6,11,18,-51
2012-08-18,37,8,5,8,15,-41
2012-10-24,45,12,5,12,11,-38
2013-01-23,39,10,7,8,12,-48
2013-04-17,36,8,6,9,19,-40
2013-08-17,37,8,4,9,18,-50
2013-10-23,41,7,5,13,12,-39
2014-01-22,32,4,3,10,8,-23
2014-04-16,43,4,4,13,15,-44
2014-07-16,38,4,7,10,12,-53
2014-10-22,39,6,6,10,9,-41
2015-01-21,37,5,3,11,9,-32
2015-04-15,39,3,6,9,9,-35
2015-07-15,33,5,3,7,6,-35
2015-10-21,37,3,4,10,10,-49
2016-01-20,37,5,4,11,10,-46
2016-04-13,36,5,4,10,11,-40
2016-07-13,37,5,4,12,11,-28
2016-10-19,29,4,5,10,13,-25
2017-01-18,41,6,7,12,9,-10
2017-04-12,43,7,6,11,16,-44
2017-07-12,33,3,5,9,9,-23
2017-10-25,43,9,5,11,11,-28
2018-01-17,36,5,5,10,8,-21
2018-04-18,39,6,6,10,14,-38
2018-07-11,36,5,5,8,15,-33
2018-10-24,39,3,5,8,13,-52
2019-01-09,32,4,4,6,10,-46
2019-04-24,38,3,5,11,10,-44
2019-07-10,38,3,3,11,14,-53
2019-10-30,40,5,7,11,15,-46
2020-01-22,38,6,3,9,12,-40
2020-04-15,30,4,4,11,18,-56
2020-07-15,51,4,5,14,16,-84
2020-10-28,39,4,7,8,18,-51
2021-01-20,40,2,6,10,19,-44
2021-04-21,49,5,7,13,20,-36
2021-07-14,39,5,6,9,14,-29
2021-10-27,48,4,5,11,18,-54
2022-01-26,41,4,6,9,14,-52
2022-04-13,37,5,6,8,14,-51
2022-04-18,41,9,5,8,11,-30
2022-07-13,40,3,7,8,16,-46
2022-10-26,39,5,7,10,14,-44
