date,uncertainty,litigious,strong_modal,weak_modal,constraining,optimistic
1980-01-09,94,15,8,21,24,-125
1980-01-10,94,15,8,21,24,-125
1980-01-11,94,15,8,21,24,-125
1980-01-12,94,15,8,21,24,-125
1980-01-13,94,15,8,21,24,-125
1980-01-14,94,15,8,21,24,-125
1980-01-15,94,15,8,21,24,-125
1980-01-16,94,15,8,21,24,-125
1980-01-17,94,15,8,21,24,-125
1980-01-18,94,15,8,21,24,-125
1980-01-19,94,15,8,21,24,-125
1980-01-20,94,15,8,21,24,-125
1980-01-21,94,15,8,21,24,-125
1980-01-22,94,15,8,21,24,-125
1980-01-23,94,15,8,21,24,-125
1980-01-24,94,15,8,21,24,-125
1980-01-25,94,15,8,21,24,-125
1980-01-26,94,15,8,21,24,-125
1980-01-27,94,15,8,21,24,-125
1980-01-28,94,15,8,21,24,-125
1980-01-29,94,15,8,21,24,-125
1980-01-30,94,15,8,21,24,-125
1980-01-31,94,15,8,21,24,-125
1980-02-01,94,15,8,21,24,-125
1980-02-02,94,15,8,21,24,-125
1980-02-03,94,15,8,21,24,-125
1980-02-04,94,15,8,21,24,-125
1980-02-05,89,22,9,20,28,-141
1980-02-06,89,22,9,20,28,-141
1980-02-07,89,22,9,20,28,-141
1980-02-08,89,22,9,20,28,-141
1980-02-09,89,22,9,20,28,-141
1980-02-10,89,22,9,20,28,-141
1980-02-11,89,22,9,20,28,-141
1980-02-12,89,22,9,20,28,-141
1980-02-13,89,22,9,20,28,-141
1980-02-14,89,22,9,20,28,-141
1980-02-15,89,22,9,20,28,-141
1980-02-16,89,22,9,20,28,-141
1980-02-17,89,22,9,20,28,-141
1980-02-18,89,22,9,20,28,-141
1980-02-19,89,22,9,20,28,-141
1980-02-20,89,22,9,20,28,-141
1980-02-21,89,22,9,20,28,-141
1980-02-22,89,22,9,20,28,-141
1980-02-23,89,22,9,20,28,-141
1980-02-24,89,22,9,20,28,-141
1980-02-25,89,22,9,20,28,-141
1980-02-26,89,22,9,20,28,-141
1980-02-27,89,22,9,20,28,-141
1980-02-28,89,22,9,20,28,-141
1980-02-29,89,22,9,20,28,-141
1980-03-01,89,22,9,20,28,-141
1980-03-02,89,22,9,20,28,-141
1980-03-03,89,22,9,20,28,-141
1980-03-04,89,22,9,20,28,-141
1980-03-05,89,22,9,20,28,-141
1980-03-06,89,22,9,20,28,-141
1980-03-07,89,22,9,20,28,-141
1980-03-08,89,22,9,20,28,-141
1980-03-09,89,22,9,20,28,-141
1980-03-10,89,22,9,20,28,-141
1980-03-11,89,22,9,20,28,-141
1980-03-12,89,22,9,20,28,-141
1980-03-13,89,22,9,20,28,-141
1980-03-14,89,22,9,20,28,-141
1980-03-15,89,22,9,20,28,-141
1980-03-16,89,22,9,20,28,-141
1980-03-17,89,22,9,20,28,-141
1980-03-18,55,17,7,15,24,-97
1980-03-19,55,17,7,15,24,-97
1980-03-20,55,17,7,15,24,-97
1980-03-21,55,17,7,15,24,-97
1980-03-22,55,17,7,15,24,-97
1980-03-23,55,17,7,15,24,-97
1980-03-24,55,17,7,15,24,-97
1980-03-25,55,17,7,15,24,-97
1980-03-26,55,17,7,15,24,-97
1980-03-27,55,17,7,15,24,-97
1980-03-28,55,17,7,15,24,-97
1980-03-29,55,17,7,15,24,-97
1980-03-30,55,17,7,15,24,-97
1980-03-31,55,17,7,15,24,-97
1980-04-01,55,17,7,15,24,-97
1980-04-02,55,17,7,15,24,-97
1980-04-03,55,17,7,15,24,-97
1980-04-04,55,17,7,15,24,-97
1980-04-05,55,17,7,15,24,-97
1980-04-06,55,17,7,15,24,-97
1980-04-07,55,17,7,15,24,-97
1980-04-08,55,17,7,15,24,-97
1980-04-09,55,17,7,15,24,-97
1980-04-10,55,17,7,15,24,-97
1980-04-11,55,17,7,15,24,-97
1980-04-12,55,17,7,15,24,-97
1980-04-13,55,17,7,15,24,-97
1980-04-14,55,17,7,15,24,-97
1980-04-15,55,17,7,15,24,-97
1980-04-16,55,17,7,15,24,-97
1980-04-17,55,17,7,15,24,-97
1980-04-18,55,17,7,15,24,-97
1980-04-19,55,17,7,15,24,-97
1980-04-20,55,17,7,15,24,-97
1980-04-21,55,17,7,15,24,-97
1980-04-22,68,8,8,16,15,-83
1980-04-23,68,8,8,16,15,-83
1980-04-24,68,8,8,16,15,-83
1980-04-25,68,8,8,16,15,-83
1980-04-26,68,8,8,16,15,-83
1980-04-27,68,8,8,16,15,-83
1980-04-28,68,8,8,16,15,-83
1980-04-29,68,8,8,16,15,-83
1980-04-30,68,8,8,16,15,-83
1980-05-01,68,8,8,16,15,-83
1980-05-02,68,8,8,16,15,-83
1980-05-03,68,8,8,16,15,-83
1980-05-04,68,8,8,16,15,-83
1980-05-05,68,8,8,16,15,-83
1980-05-06,68,8,8,16,15,-83
1980-05-07,68,8,8,16,15,-83
1980-05-08,68,8,8,16,15,-83
1980-05-09,68,8,8,16,15,-83
1980-05-10,68,8,8,16,15,-83
1980-05-11,68,8,8,16,15,-83
1980-05-12,68,8,8,16,15,-83
1980-05-13,68,8,8,16,15,-83
1980-05-14,68,8,8,16,15,-83
1980-05-15,68,8,8,16,15,-83
1980-05-16,68,8,8,16,15,-83
1980-05-17,68,8,8,16,15,-83
1980-05-18,68,8,8,16,15,-83
1980-05-19,68,8,8,16,15,-83
1980-05-20,59,7,9,16,24,-89
1980-05-21,59,7,9,16,24,-89
1980-05-22,59,7,9,16,24,-89
1980-05-23,59,7,9,16,24,-89
1980-05-24,59,7,9,16,24,-89
1980-05-25,59,7,9,16,24,-89
1980-05-26,59,7,9,16,24,-89
1980-05-27,59,7,9,16,24,-89
1980-05-28,59,7,9,16,24,-89
1980-05-29,59,7,9,16,24,-89
1980-05-30,59,7,9,16,24,-89
1980-05-31,59,7,9,16,24,-89
1980-06-01,59,7,9,16,24,-89
1980-06-02,59,7,9,16,24,-89
1980-06-03,59,7,9,16,24,-89
1980-06-04,59,7,9,16,24,-89
1980-06-05,59,7,9,16,24,-89
1980-06-06,59,7,9,16,24,-89
1980-06-07,59,7,9,16,24,-89
1980-06-08,59,7,9,16,24,-89
1980-06-09,59,7,9,16,24,-89
1980-06-10,59,7,9,16,24,-89
1980-06-11,59,7,9,16,24,-89
1980-06-12,59,7,9,16,24,-89
1980-06-13,59,7,9,16,24,-89
1980-06-14,59,7,9,16,24,-89
1980-06-15,59,7,9,16,24,-89
1980-06-16,59,7,9,16,24,-89
1980-06-17,59,7,9,16,24,-89
1980-06-18,59,7,9,16,24,-89
1980-06-19,59,7,9,16,24,-89
1980-06-20,59,7,9,16,24,-89
1980-06-21,59,7,9,16,24,-89
1980-06-22,59,7,9,16,24,-89
1980-06-23,59,7,9,16,24,-89
1980-06-24,59,7,9,16,24,-89
1980-06-25,59,7,9,16,24,-89
1980-06-26,59,7,9,16,24,-89
1980-06-27,59,7,9,16,24,-89
1980-06-28,59,7,9,16,24,-89
1980-06-29,59,7,9,16,24,-89
1980-06-30,59,7,9,16,24,-89
1980-07-01,59,7,9,16,24,-89
1980-07-02,59,7,9,16,24,-89
1980-07-03,59,7,9,16,24,-89
1980-07-04,59,7,9,16,24,-89
1980-07-05,59,7,9,16,24,-89
1980-07-06,59,7,9,16,24,-89
1980-07-07,59,7,9,16,24,-89
1980-07-08,59,7,9,16,24,-89
1980-07-09,82,23,9,19,26,-126
1980-07-10,82,23,9,19,26,-126
1980-07-11,82,23,9,19,26,-126
1980-07-12,82,23,9,19,26,-126
1980-07-13,82,23,9,19,26,-126
1980-07-14,82,23,9,19,26,-126
1980-07-15,82,23,9,19,26,-126
1980-07-16,82,23,9,19,26,-126
1980-07-17,82,23,9,19,26,-126
1980-07-18,82,23,9,19,26,-126
1980-07-19,82,23,9,19,26,-126
1980-07-20,82,23,9,19,26,-126
1980-07-21,82,23,9,19,26,-126
1980-07-22,82,23,9,19,26,-126
1980-07-23,82,23,9,19,26,-126
1980-07-24,82,23,9,19,26,-126
1980-07-25,82,23,9,19,26,-126
1980-07-26,82,23,9,19,26,-126
1980-07-27,82,23,9,19,26,-126
1980-07-28,82,23,9,19,26,-126
1980-07-29,82,23,9,19,26,-126
1980-07-30,82,23,9,19,26,-126
1980-07-31,82,23,9,19,26,-126
1980-08-01,82,23,9,19,26,-126
1980-08-02,82,23,9,19,26,-126
1980-08-03,82,23,9,19,26,-126
1980-08-04,82,23,9,19,26,-126
1980-08-05,82,23,9,19,26,-126
1980-08-06,82,23,9,19,26,-126
1980-08-07,82,23,9,19,26,-126
1980-08-08,82,23,9,19,26,-126
1980-08-09,82,23,9,19,26,-126
1980-08-10,82,23,9,19,26,-126
1980-08-11,82,23,9,19,26,-126
1980-08-12,61,6,8,15,18,-89
1980-08-13,61,6,8,15,18,-89
1980-08-14,61,6,8,15,18,-89
1980-08-15,61,6,8,15,18,-89
1980-08-16,61,6,8,15,18,-89
1980-08-17,61,6,8,15,18,-89
1980-08-18,61,6,8,15,18,-89
1980-08-19,61,6,8,15,18,-89
1980-08-20,61,6,8,15,18,-89
1980-08-21,61,6,8,15,18,-89
1980-08-22,61,6,8,15,18,-89
1980-08-23,61,6,8,15,18,-89
1980-08-24,61,6,8,15,18,-89
1980-08-25,61,6,8,15,18,-89
1980-08-26,61,6,8,15,18,-89
1980-08-27,61,6,8,15,18,-89
