date,uncertainty,litigious,strong_modal,weak_modal,constraining,optimistic
1980-01-09,94,15,8,21,24,-125
1980-02-05,89,22,9,20,28,-141
1980-03-18,55,17,7,15,24,-97
1980-04-22,68,8,8,16,15,-83
1980-05-20,59,7,9,16,24,-89
1980-07-09,82,23,9,19,26,-126
1980-08-12,61,6,8,15,18,-89
1980-09-16,78,8,9,20,14,-111
1980-10-21,75,16,7,17,20,-112
1980-12-19,89,18,9,21,31,-120
1981-02-03,113,31,10,20,36,-178
1981-03-31,68,10,8,20,17,-82
1981-05-18,63,10,8,16,22,-102
1981-07-07,77,18,8,20,27,-118
1981-08-18,65,13,9,20,21,-104
1981-10-06,57,17,8,20,21,-129
1981-11-17,67,8,8,22,17,-115
1981-12-22,76,18,9,18,19,-94
1982-02-02,84,19,11,20,23,-146
1982-03-30,75,21,9,20,19,-113
1982-05-18,71,22,8,18,19,-117
1982-07-01,89,24,11,21,30,-144
1982-08-24,69,12,6,20,13,-79
1982-10-05,84,19,10,20,26,-135
1982-11-16,74,14,10,18,19,-126
1982-12-21,93,26,10,19,34,-124
1983-02-09,79,18,10,18,25,-113
1983-03-29,82,12,8,20,23,-115
1983-05-24,71,13,8,19,20,-87
1983-07-13,77,14,12,17,23,-96
1983-08-23,40,7,5,14,10,-44
1983-10-04,71,14,8,19,18,-102
1983-11-15,69,23,8,19,24,-107
1983-12-20,80,14,8,20,19,-105
1984-01-31,75,12,8,17,21,-84
1984-03-27,89,24,10,18,25,-132
1984-05-22,56,13,8,15,22,-107
1984-07-17,79,22,9,19,22,-100
1984-08-21,52,13,6,15,17,-73
1984-10-02,63,13,8,19,13,-93
1984-11-07,70,8,7,17,14,-102
1984-12-18,84,15,8,18,25,-119
1985-02-13,65,12,7,16,18,-77
1985-03-26,64,8,8,18,14,-93
1985-05-21,63,8,8,16,10,-89
1985-07-10,79,17,9,20,19,-107
1985-08-20,67,10,8,17,13,-98
1985-10-01,49,8,7,16,16,-66
1985-11-05,61,11,9,19,10,-54
1985-12-17,77,16,9,19,17,-102
1986-02-12,77,16,7,19,11,-88
1986-04-01,46,8,6,17,11,-56
1986-05-20,67,9,10,17,14,-79
1986-07-09,65,15,10,18,24,-110
1986-08-19,72,13,7,19,16,-77
1986-09-23,56,13,10,19,16,-49
1986-11-05,44,5,5,16,6,-38
1986-12-16,74,11,9,18,21,-79
1987-02-11,73,18,8,20,17,-74
1987-03-31,63,11,8,18,19,-67
1987-05-19,59,9,8,18,9,-62
1987-07-07,72,9,7,21,18,-83
1987-08-18,62,7,11,20,15,-43
1987-09-22,58,7,8,19,14,-67
1987-11-03,67,12,9,19,14,-81
1987-12-16,87,12,11,19,25,-104
1988-02-10,73,16,10,20,24,-106
1988-03-29,71,11,7,18,16,-80
1988-05-17,59,10,6,14,17,-73
1988-06-30,57,18,9,18,16,-63
1988-08-16,55,5,9,18,13,-85
1988-09-20,53,9,8,18,16,-53
1988-11-01,63,15,9,19,19,-93
1988-12-14,80,10,7,18,18,-104
1989-02-08,70,11,11,18,21,-77
1989-03-28,60,10,10,16,18,-72
1989-05-16,70,15,9,18,10,-76
1989-07-06,78,20,8,19,23,-96
1989-08-22,69,14,8,19,10,-84
1989-10-03,65,12,8,18,18,-98
1989-11-14,51,11,7,17,17,-76
1989-12-19,83,28,11,21,26,-152
1990-02-07,54,22,8,17,15,-100
1990-03-27,70,32,10,19,29,-146
1990-05-15,51,8,9,18,18,-58
1990-07-03,68,15,10,18,20,-104
1990-08-21,64,11,9,17,16,-96
1990-10-02,77,11,7,16,24,-126
1990-11-13,58,13,7,18,22,-111
1990-12-18,62,12,8,16,15,-86
1991-02-06,65,18,10,19,20,-127
1991-03-26,65,13,8,16,24,-82
1991-05-14,41,8,7,14,10,-58
1991-07-03,63,15,8,15,21,-82
1991-08-20,68,10,11,16,15,-82
1991-10-01,49,9,9,13,7,-73
1991-11-05,62,12,9,15,11,-100
1991-12-17,57,11,8,16,12,-103
1992-02-05,66,23,8,19,26,-97
1992-03-31,53,11,8,15,15,-61
1992-05-19,60,12,9,18,15,-82
1992-07-01,87,19,7,19,27,-127
1992-08-18,57,19,9,17,24,-80
1992-10-06,59,15,7,18,22,-109
1992-11-17,65,22,9,20,26,-136
1992-12-22,59,14,9,19,16,-60
1993-02-03,41,18,4,15,18,-39
1993-02-03,72,22,11,16,24,-101
1993-03-23,34,8,3,12,14,-31
